번호,개방서비스명,소재지전화,도로명전체주소,사업장명,업태구분명,진료과목내용명
137,의원,031-8059-2890,"경기도 화성시 만세구 향남읍 행정서로 32, 303~304호 (센타프라자)",서울힐링치과의원,치과의원,치과보존과 구강병리과 구강악안면외과 치주과 치과교정과 소아치과 영상치의학과 구강내과 치과보철과 예방치과 통합치의학과
138,의원,031-8047-6262,"경기도 화성시 만세구 향남읍 행정중앙1로 14, 207호 (JS프라자)",대통한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
139,의원,031-354-5055,"경기도 화성시 만세구 향남읍 행정중앙2로 63-3, 402호,403호 (백상프라자)",푸른성모이비인후과의원,의원,피부과 이비인후과 소아청소년과 내과
140,의원,031-355-7089,"경기도 화성시 만세구 송산면 사강시장길 60, 2층",송산그린한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
141,의원,031-355-5175,"경기도 화성시 만세구 남양읍 남양성지로 119, 2층 (성지빌딩)",감동한의원,한의원,한방내과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방재활의학과 한방소아과
142,의원,031-8059-8866,"경기도 화성시 만세구 향남읍 행정중앙2로 69-17, 3~5층 (HB메디컬빌딩)",해피본산부인과의원,의원,산부인과 가정의학과
143,의원,031-366-0278,경기도 화성시 만세구 팔탄면 서촌길 7,혜민한의원,한의원,한방내과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방소아과 한방재활의학과
144,의원,031-353-5936,"경기도 화성시 만세구 향남읍 평3길 19, 3층 301호 (회춘프라자)",자연의원,의원,내과 정형외과 외과 피부과 비뇨의학과 이비인후과 가정의학과
145,의원,031-356-0533,"경기도 화성시 만세구 남양읍 남양성지로 139-1, 3층 303호",최소아과의원,의원,내과 소아청소년과 이비인후과 피부과 비뇨의학과 재활의학과 신경과 정형외과 마취통증의학과 신경외과 외과 안과
146,의원,031-8059-2010,"경기도 화성시 만세구 향남읍 행정중앙1로 14, 301호 (제이에스플라자)",향남프라임치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과
147,의원,031-355-7570,"경기도 화성시 만세구 남양읍 시청로 7, 위더스프라자 3층 303,304호",보건한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과 한방응급과
148,의원,031-351-2770,"경기도 화성시 만세구 우정읍 조암남로 3-3, 2층",조암미소치과의원,치과의원,구강악안면외과 치과보철과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과
149,의원,031-354-0220,"경기도 화성시 만세구 향남읍 발안로 116, 4층 403호 (중앙프라자)",향남경희한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
150,의원,031-8059-2045,"경기도 화성시 만세구 향남읍 발안로 116, 303호 (중앙프라자)",희망을심는치과의원,치과의원,통합치의학과 예방치과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
151,의원,031-366-7533,"경기도 화성시 만세구 남양읍 남양성지로 139-1, 201호 (국제포인트프라자)",참맑은의원,의원,피부과 비뇨의학과
152,의원,031-366-8275,"경기도 화성시 만세구 남양읍 남양성지로 147, 305호 (아이리스프라자)",남양경희한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
153,의원,031-373-0072,"경기도 화성시 만세구 향남읍 행정중앙2로 33, 3층 301~303호 (성지프라자)",향남봄내과의원,의원,내과 소아청소년과 피부과 이비인후과
154,의원,031-354-7537,"경기도 화성시 만세구 팔탄면 푸른들판로 666, 2층",미앤미치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
155,의원,031-8059-8275,"경기도 화성시 만세구 향남읍 발안로 101, 301,302호 (정메디프라자)",보스톤탑치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과
156,의원,031-8059-2842,"경기도 화성시 만세구 향남읍 발안공단로 101, 2층",구문치과의원,치과의원,통합치의학과
157,의원,031-354-9969,"경기도 화성시 만세구 향남읍 발안로 113, 601,602호 (아스날타워)",에버란트치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
158,의원,031-8059-5161,"경기도 화성시 만세구 향남읍 발안로 112, 402호 (삼성프라자)",미담치과의원,치과의원,통합치의학과 치과교정과 구강악안면외과
159,의원,031-356-6780,"경기도 화성시 만세구 남양읍 시청로 7, 4층",남양편안한내과의원,의원,내과 소아청소년과 비뇨의학과 피부과 정형외과 신경과 이비인후과
160,의원,031-366-7510,"경기도 화성시 만세구 서신면 매화1길 21-5, 1층",전통한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
161,의원,031-357-1150,경기도 화성시 만세구 송산면 사강시장길 73,연세홍내과의원,의원,내과 소아청소년과 이비인후과
162,의원,031-355-2875,"경기도 화성시 만세구 남양읍 남양성지로 123, 5층 (삼기프라자)",남양선연합치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
163,의원,031-366-9118,경기도 화성시 만세구 서신면 해안길 156-2,제부보건진료소,보건진료소,보건진료소
164,의원,031-358-5565,"경기도 화성시 만세구 우정읍 조암서로 3, 2층일부호",조암봄이비인후과의원,의원,이비인후과 내과 소아청소년과 피부과
165,의원,031-8059-2804,"경기도 화성시 만세구 향남읍 행정중앙2로 39, 402호 (태성메디컬프라자)",우리치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
166,의원,031-366-0075,"경기도 화성시 만세구 향남읍 행정중앙2로 39, 401호 (태성메디컬프라자)",원광한의원,한의원,한방내과 한방안·이비인후·피부과 사상체질과 침구과 한방신경정신과 한방부인과 한방소아과 한방재활의학과
167,의원,031-354-1086,"경기도 화성시 만세구 향남읍 향남로 392, 502호 (우성메디피아)",아름다운의원,의원,피부과 비뇨의학과
168,의원,031-352-7675,"경기도 화성시 만세구 향남읍 발안로 107, 4층 401~403호 (태성프라자)",화성센트럴치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
169,의원,031-356-7152,"경기도 화성시 만세구 남양읍 현대연구소로 150, 233동 산업보건센터 1층전체,2층일부호",현대아주의원,의원,내과 외과 정형외과 이비인후과 피부과 비뇨의학과 재활의학과 가정의학과
170,의원,031-357-2879,"경기도 화성시 만세구 송산면 삼일공원로 122, 백송타운 101동 201호",서울으뜸치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
171,의원,031-359-8442,"경기도 화성시 만세구 향남읍 발안로 112, 401호 (삼성프라자)",병인한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
172,의원,031-8059-2871,"경기도 화성시 만세구 팔탄면 푸른들판로 665, 가동 2층",구장치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
173,의원,031-8059-2828,"경기도 화성시 만세구 향남읍 행정중앙2로 33, 305호 (성지프라자)",수치과의원,치과의원,통합치의학과
174,의원,031-8059-0575,"경기도 화성시 만세구 향남읍 향남로 392, 501호 (우성메디피아)",향남삼성내과의원,의원,내과 소아청소년과 피부과
175,의원,031-8059-3322,"경기도 화성시 만세구 향남읍 행정중앙2로 39, 301호 (태성메디칼프라자)",향남연세소아청소년과의원,의원,소아청소년과 내과 이비인후과 피부과
176,의원,031-352-8275,"경기도 화성시 만세구 향남읍 향남로 392, 404~405호 (우성메디피아)",고려정형외과의원,의원,정형외과 신경외과 재활의학과 내과
177,의원,031-352-9033,"경기도 화성시 만세구 향남읍 향남로 392, 506호 (우성메디피아)",수한의원,한의원,한방내과 한방안·이비인후·피부과 사상체질과 침구과 한방신경정신과 한방부인과 한방소아과 한방재활의학과
178,의원,031-357-7669,경기도 화성시 만세구 송산면 사강로 201,예미지강치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
179,의원,031-354-7582,"경기도 화성시 만세구 향남읍 3.1만세로 1109-3, 201호",늘푸른한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
180,의원,031-354-9975,경기도 화성시 만세구 향남읍 발안로 9,발안치과의원,치과의원,구강악안면외과 치과보철과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과
181,의원,031-352-2875,"경기도 화성시 만세구 향남읍 삼천병마로 212-1, 1~3층",발안선연합치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
182,의원,031-355-7528,"경기도 화성시 만세구 남양읍 남양성지로 135, 301호 (남양빌딩)",미소하루치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
